"chi2","mu","eta","alpha","zeta","rho_mantle","rho_core","R_core","rho_layer","R_layer","eta_layer","mu_layer"
8.834293869003996,71.78798,21.980836,0.156905,-0.034977,3351.212,6899.732,410.3326,3371.8689999999997,696.90969,28.075914,63.274372
1.6245847063831547,75.71534,25.296286,0.142125,-1.859368,3363.594,5919.061,422.080956,3372.941,540.438244,11.887518,20.258319
5.126547525700879,78.228555,22.902912,0.101765,-0.312387,3365.516,6493.315,385.492215,3372.5499999999997,424.596425,9.040798,30.436735
7.164669526191087,74.617421,24.20735,0.170453,-2.239089,3356.271,6379.757,420.566579,3372.209,584.552132,18.6785,29.893443
6.029700121767144,77.442771,27.377897,0.124952,-2.512773,3369.003,6612.009999999999,371.493627,3373.903,585.024181,15.43049,25.811446
8.240398799887641,81.939968,24.340245,0.160112,-1.463118,3372.405,6503.625999999999,364.616964,3374.489,637.818423,14.777455,31.292214
8.792469771391096,80.149445,26.013626,0.128323,-2.85068,3359.095,6577.946,406.263253,3373.685,612.768846,29.819872,9.270258
3.820631449226366,84.015401,25.54206,0.124651,1.373224,3371.286,6688.153,358.872628,3373.6839999999997,682.476566,15.163204,13.383318
2.683318169462075,88.170992,21.135895,0.139171,1.222315,3353.803,6886.8150000000005,406.278146,3372.5499999999997,647.69453,10.79098,32.873259
10.595578624019021,73.513466,21.366586,0.238888,2.012764,3371.451,5609.271,409.771944,3373.683,612.816179,15.8578,14.420838
1.5076650155760243,88.815339,24.254713,0.155325,-1.891287,3369.14,6379.683,377.463828,3373.332,668.174787,2.872635,57.685002
11.553991278019247,85.618081,25.611423,0.100119,-2.355126,3344.078,6636.667,443.767059,3371.9649999999997,574.325772,5.002674,1.847455
4.642046428598466,74.633447,27.267592,0.165501,4.087405,3370.278,5847.6720000000005,399.804286,3373.328,688.207755,16.231289,19.810393
6.899787184100822,80.992341,21.21327,0.100047,1.154019,3371.9410000000003,5829.99,398.307066,3374.38,668.909596,21.487886,48.230614
4.022757477891839,83.45358,26.577991,0.101279,-3.918207,3345.9970000000003,6633.676,438.774869,3371.532,538.699114,17.512931,4.393962
6.096300008145653,74.382645,21.388557,0.141023,1.05862,3370.007,6850.079,360.038959,3374.004,465.538254,4.662498,36.594994
8.496269921262762,79.907973,21.090005,0.12072,2.384716,3365.4429999999998,6389.303,391.848716,3373.1710000000003,551.759484,14.776048,73.193664
12.641806592523826,76.19482,25.508009,0.103281,-0.539948,3369.855,5826.427,402.884429,3373.277,528.643148,15.220726,29.684785
6.727413773188403,73.755262,25.506873,0.127553,-2.802352,3365.0159999999996,5470.283,445.19495,3372.8579999999997,564.73674,19.074115,59.499512
5.1305690243525035,81.378785,26.464265,0.100613,-3.844523,3354.194,6621.21,418.929828,3372.8199999999997,497.707045,4.646696,22.074222
7.30297074640705,69.30574,24.84971,0.136937,-1.718411,3368.672,6530.862,375.728443,3373.741,423.45996,20.385414,14.033123
12.591681263129644,85.986714,23.460758,0.117161,-1.453512,3372.563,6489.964,364.048216,3374.564,649.933544,26.73684,21.816004
