"chi2","mu","eta","alpha","zeta","Delta","eta_gb","d_grain","rho_mantle","rho_core","R_core"
7.776621307682845,68.544048,21.367892,0.194552,0.385043,-0.246731,18.550804,-4.413934,3374.25,6316.304,363.427673
10.07739062959945,71.659333,26.237897,0.120066,-3.448204,-1.362893,17.14204,-3.837817,3373.808,6385.704,360.999567
9.414990267639192,68.777843,22.622967,0.22264,-0.870428,-1.46643,11.310199,-4.686407,3373.79,5593.037,401.204263
11.795721628015265,85.284208,21.026451,0.155789,0.582617,-0.642304,2.135882,-4.935866,3373.8610000000003,5981.532999999999,379.699965
12.011370002521033,74.545808,27.831572,0.110683,-4.759201,-0.630115,19.238074,-5.089832,3374.489,5285.366,421.3621
6.945869891062647,83.002683,25.946444,0.154039,-3.980257,-0.679544,10.606645,-4.722729,3374.242,5875.996,385.060152
21.61009771523794,68.056617,21.0823,0.123005,4.074608,-1.444208,10.129231,-2.623403,3374.8239999999996,6158.313999999999,370.58384
8.121246392033958,73.901843,26.649102,0.116922,-3.923648,-0.213106,24.446238,-4.78023,3374.4230000000002,5209.027,426.937642
6.119200437040217,72.270013,24.788352,0.13189,-1.485285,-0.480667,15.303012,-4.843237,3373.877,5133.414,434.232043
2.0263357440593754,65.821708,26.925751,0.286676,-3.915837,-1.205411,12.036829,-4.260551,3373.784,5450.05,411.870049
11.623833560483005,68.769432,26.478203,0.138982,-3.545343,-0.738166,14.723121,-3.573071,3374.108,6869.647,342.602828
