"chi2","mu","eta","alpha","zeta","Delta","t_rel","rho_mantle","rho_core","R_core"
3.5282666105159053,87.406795,21.055589,0.14478,1.791305,-0.582491,-5.72632,3373.9469999999997,5681.562,396.331069
16.34929008254909,72.569188,22.774032,0.105875,0.518901,-1.885096,-9.790511,3374.098,6937.6230000000005,340.840542
7.2893453506853865,65.589881,23.962495,0.191018,-0.841427,-1.451373,-7.054652,3373.7490000000003,5710.305,394.195421
5.432074805947941,73.941922,25.295923,0.125388,-2.919309,-1.199172,-2.708087,3373.7050000000004,5148.265,432.750705
3.4845903486161505,73.849884,22.584959,0.122836,0.5465,-1.261977,-8.059441,3374.212,6060.842,376.073526
5.29827287873979,74.666363,27.767981,0.106777,-4.625961,-1.696239,-8.668987,3373.862,6164.42,370.782776
6.211340169959644,75.646053,23.603011,0.136715,-0.395499,-1.021104,-8.107675,3373.934,6467.366,358.007033
8.848613315937218,65.496003,25.122673,0.159174,2.307376,-1.151166,-8.279075,3374.046,5790.261,389.497314
6.127168692994974,63.889961,23.329067,0.159762,3.632277,-1.024705,-6.366831,3374.241,6046.695,374.867567
12.20588439675442,68.827911,24.627746,0.165531,-2.217106,-0.232514,-3.381363,3374.147,5570.176,401.42609
16.54873423219096,75.912188,27.278373,0.101895,-3.777648,-0.79191,-3.98174,3372.926,4980.309,449.310943
7.636790097453811,67.598807,24.438568,0.152647,-1.898392,-1.468483,-0.855459,3374.1240000000003,6873.391,342.524423
8.274637316370512,65.001006,24.81136,0.152441,4.252868,-0.951694,-7.801977,3373.944,5907.178,383.026851
9.326559996101999,73.832929,22.098756,0.128566,0.660306,-1.922788,-6.31929,3373.641,5387.368,414.752882
13.900790827882183,64.008779,20.62684,0.362083,0.463682,-1.322804,-4.263551,3373.91,6798.517000000001,345.583715
6.170253169100265,66.634378,25.225134,0.199718,-2.807775,-1.447694,-9.314657,3373.384,6094.5419999999995,374.112852
6.537228415078694,76.343424,27.819897,0.110452,-4.989627,0.128954,-1.065332,3373.217,5137.371,434.480213
7.055832477912709,75.04946,21.925839,0.109006,0.709489,0.255935,-1.397134,3373.801,5956.463000000001,380.597262
10.916638426873389,67.983533,25.784719,0.176139,-3.569197,-1.726321,-9.16353,3373.89,6216.276,368.298941
4.068793796370242,77.145396,25.109565,0.111098,-2.074413,0.22058,-0.170791,3373.638,5019.313,444.023389
