"chi2","mu","eta","alpha","zeta","rho_mantle","rho_core","R_core"
8.701249596599105,86.880485,23.385569,0.058965,-0.176893,3373.3979999999997,5751.0380000000005,392.475228
5.2445150047590054,84.160996,23.272329,0.070143,-0.422842,3374.0739999999996,5826.527999999999,387.676722
5.178378959421164,73.260566,26.073482,0.106226,-2.81296,3374.0350000000003,6062.513,375.305789
5.969466576328866,76.502766,25.275318,0.084212,-1.209943,3374.0640000000003,5710.496,394.284586
11.078520329555221,88.020808,24.739679,0.070267,-2.228744,3373.3399999999997,5015.838,446.594065
10.62236859739122,76.317243,27.373805,0.093493,-4.41646,3374.347,6572.682000000001,353.435264
10.403354445188977,79.56527,27.925126,0.075034,-4.46452,3374.489,6562.7570000000005,353.481465
5.808932959143532,76.960216,21.41253,0.113168,1.247384,3373.249,5135.166,434.686836
7.838621153283639,86.385876,21.669117,0.054048,1.588219,3374.55,6636.2480000000005,350.214024
5.776272486652508,76.794823,21.125923,0.082536,3.131834,3374.5319999999997,5435.036,410.595878
8.630056591374586,76.493886,21.582608,0.08515,2.457173,3373.783,5352.3949999999995,417.467534
5.7076402834075015,77.079914,26.575562,0.094219,-3.473147,3373.131,5308.802,420.911167
7.143884961434721,85.979185,19.782222,0.055707,4.277917,3373.5029999999997,5478.817,408.144453
5.003414154169716,78.544438,24.68634,0.087465,-1.2487,3373.6229999999996,4971.647,448.53664
10.039891785403233,80.010774,21.616749,0.067308,2.837382,3374.551,5320.5869999999995,418.969092
8.785421838825565,83.898881,27.221904,0.071534,-3.526043,3373.8199999999997,5268.018,423.553232
9.89015298307024,80.063205,25.114699,0.073901,-0.645618,3374.006,5292.768,421.312736
7.693492229229021,75.721421,25.682015,0.10837,-2.7097,3372.9719999999998,5273.62,423.146481
8.788554428276765,77.824837,21.540368,0.079974,1.839819,3374.378,6629.963,351.914379
3.5931563803352757,70.307369,26.689923,0.127752,-3.499439,3374.441,6531.119000000001,354.29175
7.664738075537397,78.707763,23.950742,0.081973,0.356592,3373.61,5115.933,436.489609
5.615487255233933,77.580265,22.026903,0.072392,2.404306,3373.8100000000004,6885.068,342.9229
5.844982143925243,76.00489,21.497334,0.09523,2.146047,3373.912,5421.737,412.102074
4.510537212237507,76.596192,25.623504,0.088049,-2.526191,3374.509,6894.370999999999,341.835664
6.417794910916592,80.229177,23.921864,0.064865,-0.019006,3374.257,6934.634,341.054325
10.781992515716402,83.60819,23.722245,0.058931,0.457732,3373.71,5773.81,391.464208
9.331811045882237,87.457296,24.881637,0.062477,-2.521341,3373.9309999999996,5790.69,389.889057
11.585611949006053,84.021936,21.24883,0.06005,2.076997,3374.4480000000003,6875.971,343.012567
3.576132950162171,75.821631,27.439439,0.09227,-3.842545,3374.25,5948.179,380.764167
5.309601176660779,79.547698,24.237143,0.071714,-0.430994,3373.874,6826.233,344.624357
8.344723756572778,68.687141,21.153372,0.130733,2.214035,3374.522,6781.289,345.493586
7.41808431961339,79.359726,19.789134,0.084176,3.376275,3373.754,5505.73,407.103595
7.168027819546219,79.029035,25.848344,0.084577,-2.317012,3373.8269999999998,5514.742,406.081745
9.721482531255111,70.447449,25.721388,0.112368,-2.15513,3373.716,6907.8189999999995,341.466552
4.133497341397563,75.112803,26.399366,0.098647,-1.861639,3373.322,5056.052000000001,441.821914
10.786508733993934,69.941934,26.475677,0.178306,-4.795396,3373.8959999999997,5691.524,395.755613
4.385157588608971,81.785849,26.047062,0.068037,-2.175969,3374.5980000000004,6051.221,374.927772
4.372550527789444,75.378665,27.471652,0.102737,-3.502418,3373.5179999999996,5075.937,440.636321
7.140332672339017,76.338323,20.629508,0.100373,2.262271,3373.598,5639.85,398.675026
8.261406593620542,83.643058,22.554323,0.068004,0.936702,3373.494,5358.977000000001,416.866379
2.554662520155775,78.705886,21.340838,0.085485,2.064031,3373.769,5465.710999999999,409.972479
9.171686439977497,70.66736,21.989008,0.141381,0.50406,3374.023,5558.24,404.030778
