"chi2","mu","eta","alpha","zeta","rho_mantle","rho_core","R_core"
12.475410777623443,69.458019,22.418981,0.144398,0.226395,3373.9210000000003,5481.883,408.22047
3.392991665423673,74.846767,21.031502,0.102315,2.357326,3373.767,5616.592,399.33066
4.1936988968511395,83.803914,23.908892,0.07178,-0.299189,3373.178,4981.652,448.918783
7.433095900743497,84.781129,25.996203,0.069351,-3.548713,3374.318,6325.0419999999995,362.883465
5.710510822239296,74.640612,21.71458,0.098253,1.332905,3373.914,6133.36,372.705871
14.01802553964528,76.945605,28.684488,0.084119,-4.342582,3374.488,5556.321,403.163709
3.0974026747095618,76.255455,25.963221,0.088436,-2.061862,3374.302,5557.76,402.485428
5.006279636268665,84.60233,25.190245,0.060129,-1.41082,3374.468,6185.273999999999,369.632734
10.07444737028598,87.945763,25.834746,0.056132,-2.073298,3373.288,5062.485,441.702452
9.9613012983793,89.914836,25.68943,0.047528,-2.213533,3373.547,6769.651,347.254856
5.192306645110469,80.399538,24.893263,0.071087,-0.975653,3374.819,5570.459,402.629769
7.219690799924456,70.907763,22.599265,0.119854,0.398647,3372.859,6547.435,354.844519
6.326656084044395,77.32529,20.671091,0.075644,3.482345,3374.158,6280.984,365.596088
5.136871619439511,82.510019,24.016591,0.07146,-0.504395,3373.769,6173.064,369.725213
7.285179840003977,87.736977,24.120719,0.057448,-0.745341,3373.785,5646.284,397.358351
6.652157173609366,85.874336,22.382968,0.055173,1.566206,3373.973,5893.128,382.955073
6.1142566624919965,77.610474,27.398417,0.093908,-4.603034,3374.335,6064.452,376.067254
9.237293653004144,83.542219,26.8811,0.053249,-2.797066,3374.8469999999998,6470.64,358.369354
3.3996215739525097,70.084815,25.024661,0.150092,-2.340282,3373.758,5676.370000000001,396.889842
8.631648584081576,85.779254,21.503224,0.062869,2.139081,3373.717,5222.778,427.795521
5.918517876531877,79.902852,23.487665,0.085292,-0.17399,3373.0989999999997,5115.147999999999,437.114863
9.60254953229019,75.923504,21.777793,0.099692,1.332219,3374.458,5685.306,394.93221
8.593825176064058,81.220126,20.516098,0.084257,2.346835,3373.569,5184.177,430.188991
6.795856800306746,89.43224,20.381442,0.047271,2.937075,3374.507,5991.021,378.675548
3.198091724684183,73.059948,26.891333,0.116399,-4.415865,3374.0260000000003,6792.615,345.751782
2.6682250002711494,77.736172,22.319124,0.087833,0.839892,3373.965,5712.22,392.748274
5.141065474702972,68.713181,24.977697,0.15466,-2.30952,3373.695,5531.238,405.015742
4.888669548055009,75.176706,23.112945,0.089283,0.526566,3374.623,6654.13,349.911852
5.770497991827959,68.821219,25.343761,0.168197,-3.665399,3373.8990000000003,6453.1140000000005,359.039669
6.3176222047269865,77.440297,22.611862,0.080833,1.584672,3373.4410000000003,5860.242,385.570582
3.517725845120457,83.655488,22.442842,0.068561,0.677176,3374.1620000000003,6071.308,375.107548
4.413784661065833,88.269448,25.928053,0.056285,-2.260756,3373.84,5968.672,380.111791
6.468664236006111,88.59711,21.386069,0.053336,2.05557,3374.1330000000003,5704.005,393.340515
7.634703792666796,76.957552,28.216241,0.082882,-4.653116,3374.0,5937.394,381.593748
8.575114793800413,88.881857,21.859016,0.059288,0.770105,3374.134,5646.4169999999995,398.501277
8.058685891347107,75.330787,27.667572,0.102773,-4.985273,3374.5029999999997,6209.905,367.457144
